,date,seci,sz.000002,sz.000006,sz.000007,sz.000011,sz.000014,sz.000031,sz.000036,sz.000042,sz.000043,sz.000046,sz.000069,sz.000402,sz.000502,sz.000514,sz.000517,sz.000537,sz.000540,sz.000558,sz.000560,sz.000573,sz.000608,sz.000615,sz.000616,sz.000620,sz.000631,sz.000656,sz.000667,sz.000668,sz.000671,sz.000691,sz.000718,sz.000732,sz.000736,sz.000797,sz.000838,sz.000897,sz.000909,sz.000926,sz.000961,sz.000965,sz.002016,sz.002077,sz.002133,sz.002146,sz.002147,sz.002208,sz.002244,sz.002285,sz.002377
1594,2017-05-19,1853.714,1854.952269,289.9509862,97.21189658,62.60366574,121.8444767,78.30312336,52.87105876,171.8475995,55.97239984,210.6393157,241.9095491,299.5861085,24.97948544,43.11281227,56.06514172,26.54751685,318.5008386,34.10378916,27.05891985,25.4348097,69.69244509,89.79937851,93.62121894,8.19625144,41.99835004,23.91428162,58.65572232,46.23717025,156.0431377,14.58063832,40.95474344,26.55988272,16.60522746,27.69195227,62.17865995,22.615005,20.29972656,39.85626465,27.7472013,22.1008914,39.82850355,19.21005074,15.96974177,97.73159138,39.00742362,41.2334901,37.11917698,108.5631865,40.6616214
1595,2017-05-22,1828.22,1845.27594,278.3793961,97.21190718,60.54389033,120.0745104,76.27066524,51.23211664,173.6891699,54.87250552,210.1383899,243.62725,296.4046631,26.27365286,41.52415718,54.86972292,25.7716682,317.9871276,33.21067344,26.51471811,24.69399,69.85897423,83.60287159,91.08520398,7.8266592,41.12540512,23.91428162,57.56950524,45.63804072,154.6597766,13.8475336,40.5525692,26.16346656,15.02223885,28.14746368,62.17865995,21.7104048,20.007312,39.65944359,27.9082881,20.9732949,38.67837564,18.7397205,15.7171448,92.63174553,38.98172703,40.6486179,37.06352604,106.8376789,39.913248
1596,2017-05-23,1789.467,1860.758067,270.1139746,97.21190718,61.35429377,119.2957253,73.59637824,50.56439948,172.1383738,53.1615588,210.3888528,243.62725,302.237313,28.90307238,39.22334636,53.91338788,26.5812494,320.0419717,31.78830396,25.78911579,24.40589345,69.1095931,82.30360401,88.12651986,7.80491848,40.54344184,23.91428162,56.48328816,44.57002721,152.1697265,13.15515692,39.81524976,26.0973972,14.30074064,26.702393,62.17865995,20.9350332,19.13006832,39.364212,28.3512768,19.7705253,36.93188511,17.66677964,15.04355288,92.72447,38.98172703,38.99148,35.8948563,103.2428714,39.3727561
1597,2017-05-24,1798.869,1856.887535,267.7996566,97.21190718,59.29451836,119.5081212,73.48940676,51.05001196,167.6798348,53.28376928,211.1402416,242.1958325,307.539722,28.90307238,39.00422152,53.55476224,26.2439239,320.0419717,31.12673676,25.3960812,24.32358015,69.77570966,83.4529561,88.54918902,7.87014064,40.64043572,23.91428162,56.1212158,42.87683506,151.3397098,12.91078868,39.34604648,25.94874114,14.68841132,26.71810029,62.17865995,21.4519476,19.0069464,39.364212,27.5861145,21.7500836,37.52824773,17.7843622,14.93128756,93.6517147,39.03312021,38.6340581,35.8948563,103.8180406,38.9154168
1598,2017-05-25,1811.903,1983.647445,274.4119938,97.21190718,62.1309304,121.4196848,75.73580784,52.14264004,169.3275557,53.89482168,213.8953337,252.5020382,313.1072515,28.90307238,39.55203362,53.91338788,26.88484235,325.692793,31.39136364,25.33561434,26.7518225,71.77405934,81.90382937,91.50787314,7.91362208,41.61037452,23.91428162,57.38846906,42.82473684,153.2764154,13.11442888,40.5525692,26.54336538,14.76379173,27.20502628,62.17865995,21.753481,18.9299952,39.49542604,26.3376918,22.050776,37.95422103,18.53395102,15.26808352,96.06255092,38.98172703,39.316409,38.06524296,106.5500943,38.4165012
1599,2017-05-26,1810.11,1988.48561,279.7018636,97.21190718,60.86923185,121.0656915,76.69855116,51.77843068,170.6845024,56.522347,212.6430191,250.4980538,311.2514083,28.90307238,39.33290878,53.55476224,26.98604,327.2339261,31.424442,25.36584777,26.95760575,71.77405934,79.79986944,90.23986566,7.85927028,41.12540512,23.91428172,59.19883086,42.74658951,154.6597766,13.236613,40.75365632,26.60943474,14.72071721,26.93800235,62.17865995,21.6242524,19.1608488,39.52822955,26.7001371,22.1008914,38.03941569,18.25469244,15.18388453,94.67168387,39.00742362,38.5365794,37.0078751,107.4128481,38.3749249
1600,2017-05-31,1808.301,2057.187545,277.3875455,97.21190718,61.07383431,120.0745104,77.554323,52.08193848,170.1998786,55.97239984,212.893482,252.5020382,308.8653243,28.90307238,39.77115846,53.1961366,26.98604,333.3984585,32.94604656,25.42631463,26.340256,70.52509079,81.30269184,95.100561,7.92449244,41.51338064,23.91428172,58.8367585,42.48609841,157.4264989,13.1347929,40.68662728,26.79112548,15.01147022,26.73380758,62.17865995,21.6673286,19.05311712,39.52822955,26.5390503,22.0758337,38.93395962,18.25469244,15.21195086,96.15527539,38.95603044,39.3813948,36.84092228,108.9945634,38.6243827
1601,2017-06-01,1773.606,2040.737786,271.4364421,97.21190718,60.56232816,120.1453091,77.23340856,52.74965564,168.8429319,56.70566272,207.1328348,252.5020382,309.6606856,28.90307238,38.51119063,51.76163404,26.2439239,328.7750592,33.60761376,25.24491405,24.9409299,70.69161993,80.25071616,92.77588062,7.8266592,40.15546632,23.91428172,59.19883086,41.47018312,156.5964822,12.50350828,39.01090128,26.80764282,15.34529775,26.16834514,62.17865995,20.8058046,18.468288,38.97056988,26.0557899,21.4744489,36.8894828,16.43216276,15.35228251,97.45341797,38.49349182,37.9517072,36.61831852,108.1318096,38.7906879
1602,2017-06-02,1788.603,2027.190926,280.0324804,97.21190718,65.1317831,123.7560402,78.5242166,52.8103572,169.5214052,56.03350508,207.1328348,249.9254868,312.842131,28.90307238,39.16856515,52.5984272,27.1209702,330.3161923,36.98160648,25.36584777,27.45148555,71.27447192,78.6477056,93.62121894,7.8266592,40.83442348,23.91428172,65.1730248,40.42821872,162.6832712,12.80896858,39.8822788,27.05540292,15.23761145,26.67097842,62.17865995,21.2365666,18.468288,39.16739094,26.579322,23.0781417,37.73394084,15.75606304,15.9978081,96.52617327,39.36717588,38.5690723,38.84435612,108.7069788,38.7491116
1603,2017-06-05,1800.932,2041.705419,280.3630973,97.21190718,64.89308023,122.7648591,79.5998908,52.8103572,176.9846118,56.8278732,207.1328348,246.4900849,312.5770106,28.90307238,39.4424712,52.95705284,27.1884353,330.3161923,39.31467408,25.36584777,28.10999195,71.35773649,77.99648256,94.25522268,8.01145532,41.51338064,23.91428172,63.90577154,40.74080804,163.5132879,12.99224476,39.81524976,27.15450696,15.36683501,27.06366067,62.17865995,21.4088714,18.52984896,39.62664008,26.6195937,22.8776801,38.08950212,16.03532162,15.85747645,97.3606935,39.3157827,38.7315368,38.34349766,109.8573172,39.2480272
