,DATE,sse180,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
815,2014-05-20,0.000817785,0.00288592,-0.005481106,-9.03E-05,0,0.001913738,0.001807263,0.001938128,0.003952857,-0.0063208,-9.03E-05,0.005172888,-0.00371784,-0.008848642,0.009596764,-0.046251835,-0.001712769,-9.03E-05,-0.007842208,0.008456739,0.099794478,-0.004515049,-0.00148497,0.00790198,-0.01996252,0.002525249,-0.004947413,-0.004741433,-0.003093273,-0.049255391,-9.03E-05
816,2014-05-21,0.009442773,0.007328128,0.016169893,-9.03E-05,0,0.02190973,0.003697609,0.00699475,0.011990267,0.003044526,-9.03E-05,0.007763133,0.004764099,0.006666487,0.008765819,0.005696158,0.010743966,-9.03E-05,0.00772223,0.015163967,-0.451365156,0.004354174,-0.004280214,0.025858793,0.01946078,0.008605382,0.005939015,0.00614026,0.010451899,0.015031681,-9.03E-05
817,2014-05-22,-0.002509915,-0.014081433,-0.013423603,-9.03E-05,0,-0.004004164,-0.005750647,0.000914755,-0.355527936,0.00303473,-0.064033432,0.002507133,0.006552242,-0.009382991,0.001372788,-0.006366421,0.009020127,-9.03E-05,-0.003966239,0.004918077,0.099846076,-0.001986604,-0.009907942,0.002017458,0.005591548,0.000771799,-0.010649631,-9.03E-05,-9.03E-05,-0.01354534,-0.004615157
818,2014-05-23,0.008288778,0.002150208,-9.03E-05,-9.03E-05,0.002590674,0.003839003,0.003704796,0.010953907,0.043119607,0.003024995,-0.032980846,-0.002680944,0.00650841,0.003557463,0.007944792,0.008330783,0.008406809,-9.03E-05,0.011582882,-9.03E-05,0.100025471,0.007509477,0.004159022,0.009024009,0.03310182,0.008522994,0.011735516,0.009197656,-9.03E-05,0.005754835,0.009000639
819,2014-05-26,0.002348208,0.003635512,0.010720541,-9.03E-05,0.018087855,-0.007918059,0.001800089,0.000902779,-0.007979816,-0.00630145,-9.03E-05,0.005104535,0.013020576,0.001467362,-0.000814908,0.014523509,0.032558493,-9.03E-05,0.02990973,0.016521026,-0.013767282,-0.004490019,0.004141042,-0.007501108,-0.001457324,0.004179585,0.007606423,0.001443472,0.001400043,0.031386728,-0.004594775
820,2014-05-27,-0.004271725,-0.018650032,-0.00811166,-9.03E-05,0,-0.00600743,-0.009524232,0.00288592,0.009850088,-0.01259027,0.041113131,-9.03E-05,-0.005384388,-0.0047559,-0.002265759,-0.010378336,-0.019978082,-9.03E-05,-0.002330748,0.019517573,0.03670973,-0.003878149,-0.009921731,-0.017355786,0.003332043,-0.007743331,-0.015648969,-0.007747238,-0.006042651,-0.015583228,-0.004615157
821,2014-05-28,0.0086223,0.013525464,0.002605148,-9.03E-05,0.002538071,0.005862111,0.005624016,0.008811807,0.017626265,0.012567958,-0.000718411,0.007661668,-0.000681636,0.007201397,0.014444614,-0.004768025,0.012917014,-9.03E-05,0.015628293,-0.001692834,0.099703969,-0.007061119,0.002746609,0.017478581,0.023784218,0.011906302,-0.00325119,0.009168989,0.004400748,0.004201575,-9.03E-05
822,2014-05-29,-0.005877295,-0.009791763,-0.01353113,-9.03E-05,0.002531646,0.007799276,-0.011453906,-0.004992231,-0.013629922,-0.00634027,-0.015803658,-0.01034668,-0.001273702,-0.009397405,0.005640389,-0.011056327,0.012749997,-9.03E-05,-0.020724021,0.003120003,0.056036952,-0.014129836,-0.028378813,-0.017355786,0.001908398,-0.021258771,-0.009026563,0.004496886,-0.001580583,0.007981905,-0.004635725
823,2014-05-30,-0.00090841,0.004431207,0.008084117,-9.03E-05,-0.005050505,-0.002047217,-0.002005979,-9.03E-05,-0.015776545,0.012488346,-0.009668814,-0.005271617,-0.000682687,0.006694699,-0.002939273,0.025252919,0.003459426,-9.03E-05,-0.009872061,0.01590973,-0.004518968,0.000556979,0.005732146,0.008931572,0.000574624,0.003369938,-0.012597542,-0.00465648,0.001402267,-0.007626775,-9.03E-05
824,2014-06-03,-0.003256419,-0.009842708,-0.002792973,-9.03E-05,-0.002538071,-0.011854976,-0.002009656,0.002865395,-0.004074334,-0.01872381,0.003778202,-0.00790277,-0.006610721,-0.005792706,0.001338301,0.009178525,0.009510538,-9.03E-05,-0.013768082,-0.001665073,-0.06103333,0.004437544,-0.017456406,-0.010678505,0.001903085,-0.006124753,-0.077557133,-0.00773553,-0.001580583,-0.017176174,-9.03E-05
