DATE,sse180,rate,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
2013-01-09,-0.001400367,9.03E-05,0.00230973,-0.014932571,-0.010046022,0,-0.001537448,-0.010010905,-0.006712787,0.015149208,0.01990973,-0.011153091,-0.008893087,-0.007580907,-0.029650856,-0.012814115,-0.020072894,-0.004921188,-0.010046022,0.028515938,0.002777407,0.01745359,0.000182432,0.006206959,0.015225045,-0.008436249,0.005736387,-0.006486858,-0.001502699,0.005853266,-0.003399702,0.002548252
2013-01-10,0.001418705,9.03E-05,-0.006474947,0.031924796,0.003261685,0.012072435,0.020199585,0.012935782,0.002872693,0.012776063,-0.005692511,-0.012075887,0.001685929,0.029559326,0.003751662,0.005637654,0.024732425,0.002822351,0.003261685,-0.003640566,-0.006217721,0.039837135,0.00863383,-0.008851221,-0.015174565,0.018272393,0.0708728,0.006776683,0.012639574,0.017634988,-0.009498128,0.007804467
2013-01-11,-0.020355077,9.03E-05,-0.008122399,-0.034761803,-0.032384257,-0.005964215,-0.014294815,-0.044600656,-0.019292633,-0.045256113,-0.022625481,-0.000899004,-0.039097362,-0.013702835,-0.033715202,-0.013853915,0.008560249,-0.015579137,-0.032384257,-0.013154403,-0.016530878,-0.040229886,-0.015495675,-0.013979159,-0.00039057,-0.000841585,-0.030516233,0.001188502,-0.012660102,-0.010249922,-0.005118203,-0.0131451
2013-01-14,0.039058193,9.03E-05,0.016913779,0.020703681,0.024075438,0.018,0.024405407,0.041317597,0.042078405,0.042038333,0.017200796,0.044021426,0.025739988,0.050334358,0.021691908,0.049957853,0.058228769,0.038257813,0.024075438,0.03179902,0.062592555,0.032637003,0.017752168,0.029359154,0.018233551,0.056300707,0.031290483,0.060360986,0.033855982,0.020437589,0.030791257,0.015782746
2013-01-15,0.005490088,9.03E-05,-0.005663518,0.016576397,0.033617595,0.001964637,-0.005716149,0.028736768,-0.003702987,-0.004345589,0.008408314,-0.000865464,0.01609678,0.002436259,0.019843285,-0.00100686,-0.025617012,0.027371851,0.033617595,0.020317893,0.012493293,0.048325223,0.015551585,0.039710725,-0.013364606,-0.003648989,0.011403983,-0.012535071,0.010853642,0.007093638,0.004267028,0.00772223
2013-01-16,-0.008962228,9.03E-05,-0.01530244,0.007195704,-0.00335114,-0.01372549,-0.025549959,-0.007819739,-0.019669675,-0.034278304,-0.008517236,0.000685525,-0.003630093,0.012510536,-9.03E-05,-0.029906784,0.065606196,-0.016680132,-0.00335114,-0.005804556,-0.004750464,0.019221233,0.027259703,0.001105902,0.002301359,-0.011518841,-9.03E-05,0.052348754,-0.01226889,-0.017208672,0.000994329,0.010245647
2013-01-17,-0.010304502,9.03E-05,0.02186095,0.003526367,-0.018628983,-0.013916501,-0.018958195,-0.012748498,-0.022279619,-0.000827733,0.002742591,0.004173296,-0.01607606,-9.03E-05,-0.030220563,-0.029877504,-0.082805838,0.01959108,-0.018628983,-0.027101764,-0.015306813,-0.018212181,-0.020250518,-0.020400903,-0.00038851,-0.00876079,-0.028165136,-0.000862769,-0.024747804,0.017326276,-0.020675319,-0.017993083
2013-01-18,0.017489453,9.03E-05,0.004683,0.001711532,0.006576397,0.010080645,0.014702629,0.004840696,0.011256175,0.054522276,0.014034024,0.050083408,0.023375434,0.025793254,0.006067021,-0.000577599,-0.003493077,0.006343554,0.006576397,0.006407072,0.030813058,0.000748656,0.016791819,0.019421925,0.021389444,0.031979701,0.009538341,0.028900839,0.012550179,0.005615864,0.025352208,0.00772223
2013-01-21,0.004072729,9.03E-05,0.01257798,-0.007284515,0.01205101,-0.003992016,0.002825182,0.049958798,0.014868593,-0.022483552,-0.008446816,0.029310686,0.021073751,-0.004942284,-0.006209881,-0.003990806,0.010579811,0.029133474,0.01205101,0.002844002,-0.005855066,0.031762203,-0.003462514,0.01067528,-0.009144008,-0.000796485,0.00604052,-0.038782982,-9.03E-05,0.004165049,-0.006562762,-0.002674249
2013-01-22,-0.004522353,9.03E-05,-0.011818182,-0.029075777,-0.029534109,-0.004008016,-0.0088112,-0.007566906,0.031597276,-0.020849039,-0.016944203,-0.009729684,-0.022542774,-0.026906457,-0.016603004,0.00774135,-0.033451756,-0.016949187,-0.029534109,-0.034613383,-0.019417676,0.070583979,-0.015967417,0.017661209,-0.011879247,-0.02058497,-0.032588577,0.000300508,-0.01118597,-0.004327558,0.018910816,-0.013043638
