sz.000667,sz.000608,sz.000002,sz.000668,sz.000402,sz.000691,sz.000560,sz.000573,
-0.005481106,-0.016331569,-9.03E-05,0.000322612,-0.002952865,-0.011755169,-9.03E-05,-0.016925287,
0.005329784,-0.021316685,0.001360407,0.001147865,0.007565232,-0.002236193,-9.03E-05,-9.03E-05,
-9.03E-05,0.007138646,-0.00347028,-0.001739075,0.012255409,0.004210805,-9.03E-05,0.052421146,
0.005300566,0.003498247,0.00233221,-0.004631971,-9.03E-05,-0.001160934,-9.03E-05,0.000994329,
-9.03E-05,-0.003665955,0.005226308,0.009864106,0.016795283,0.009556032,-9.03E-05,0.012910813,
0.007952625,-0.019229026,-0.006821039,0.001141763,-0.006547834,0.016894868,-9.03E-05,-0.005437864,
-9.03E-05,0.042592657,0.005234028,-0.000500442,0.009194781,-0.017835573,-9.03E-05,-0.001165539,
-0.002749844,-0.007107814,0.006650221,-0.015272872,-0.004690086,-0.010717263,-9.03E-05,-0.010854533,
-0.00809027,-0.014224546,-0.011568032,-0.009256937,-0.012105057,-0.003312612,-9.03E-05,-0.020764916,
0.010662418,0.008272932,0.000393523,0.000750773,0.003651545,0.005297661,-9.03E-05,-0.001201381,
-0.005409419,-0.009568943,-0.006860096,-0.02403985,-0.015001733,-0.017239252,-9.03E-05,0.005471465,
0.00793112,-0.03717161,0.003317714,-0.022905595,0.03491446,0.022810493,-9.03E-05,0.015396456,
0.00786729,0.008605382,0.01786218,0.024138805,0.007222344,-0.00542076,-9.03E-05,0.006445678,
0.005172888,0.001141257,-0.003903425,-0.002670915,0.015336227,-0.006521138,-9.03E-05,-0.002254772,
-0.005325872,-0.009930368,-0.005353428,-0.003971253,-0.016176061,-0.004405265,-9.03E-05,0.017263309,
-0.005353428,-0.00630145,-0.003457273,0.003372933,0.002634525,-0.002257117,-9.03E-05,0.026562182,
-0.005381275,-0.01884027,-0.00974278,-0.006561366,-0.019112009,0.003167059,-9.03E-05,-0.013589751,
0.002569304,-0.005185811,0.000397059,-0.004432432,0.004526535,-0.004419274,-9.03E-05,0.007278151,
-9.03E-05,0.024237515,-0.001551546,0.013429137,0.006343554,0.02164886,-9.03E-05,0.001999594,
-0.00804783,0.00490973,-0.007895148,0.014969971,-0.003743238,-0.016047717,-9.03E-05,-0.003218529,
-0.00811166,-9.03E-05,-0.006973259,-0.02722041,-0.012922534,0.00963946,-9.03E-05,0.007231906,
0.007995983,-0.007552957,0.000899829,0.009495787,0.010123286,0.010616368,-9.03E-05,0.005101838,
0.00793112,-0.010115333,0.001887969,0.006815211,-9.03E-05,-0.00538688,-9.03E-05,-9.03E-05,
-0.00539531,-0.003887738,0.022614567,0.001195628,0.010020024,-0.010739897,-9.03E-05,-0.024883658,
-0.00809027,-9.03E-05,-0.010225405,-0.002230681,-0.011919206,-0.003319549,-9.03E-05,-0.022336033,
-9.03E-05,0.002451026,0.004297833,0.000767731,0.010959454,-0.008729579,-9.03E-05,0.018327932,
0.01335059,-0.001357697,0.005249536,-0.000947535,0.01721392,0.006445678,-9.03E-05,0.004165049,
0.00256225,-0.005166412,0.041435563,-9.03E-05,0.005281261,0.010732241,-9.03E-05,-0.001149592,
-9.03E-05,0.013940342,-0.013071262,-0.00995728,-0.002761686,-0.003302261,-9.03E-05,-0.012815615,
0.023719254,0.0074569,-0.001029678,-0.006156128,0.004374016,0.012799096,-9.03E-05,0.006354413,
-0.013010167,0.008648806,0.012603665,0.002525249,0.001687508,-9.03E-05,-9.03E-05,-0.022502223,
-0.010561474,0.011048344,-0.019124625,-0.004003313,-0.024047679,0.000970175,-9.03E-05,0.026110603,
-0.002735773,-0.009882192,0.002276034,0.001655692,0.012637003,-0.01068349,-9.03E-05,-0.008600908,
-0.00539531,-0.011215115,-0.005283849,-0.016648004,-0.026122586,-0.007584917,-9.03E-05,-0.02369542,
-9.03E-05,-0.01509027,0.017944851,-0.002748666,0.010047979,-0.007641511,-9.03E-05,0.004305334,
0.002576397,0.016407192,0.001774532,-0.018304397,0.009946227,-0.016394618,0.09990973,-9.03E-05,
-0.008068993,-0.018816862,-0.013584919,-0.031764478,-9.03E-05,-0.013349939,0.09956008,-0.028536659,
-0.002771235,0.011360112,0.003211617,0.002246179,0.002619757,0.008868297,0.076221336,-0.023738919,
-0.010842958,-0.008895301,-0.012314059,-0.018738289,-0.008198378,-0.027837218,0.033883142,-0.016237906,
-0.024546792,-0.001359306,-0.022936534,-0.041420436,-0.011897718,-0.050318581,-0.10009027,-0.028226261,
0.005480761,0.004992322,0.00234519,-0.009505533,0.018292083,0.001111653,-0.10009027,0.001116003,
0.024840478,0.013816178,-9.03E-05,0.023421486,0.079332113,0.014315492,0.005200735,0.007138646,
0.005315135,0.039809979,0.010113812,0.018971314,-0.0218294,0.027128665,-0.021142902,0.008282936,
-0.005466614,-0.042056697,0.000390731,-0.004886433,-0.023167193,-0.007002712,-0.023387761,-0.006021468,
0.005315135,-0.01135435,-0.009705655,-0.022258945,0.099647263,0.038192793,-0.063393022,-0.029923206,
0.018726934,-9.03E-05,0.004764099,0.005823973,0.022980533,0.007730959,0.018518937,0.042960161,
-0.005367315,-0.001356093,0.015368667,-0.020178462,-0.049079383,-0.013394039,-0.047205655,0.052975768,
0.018477369,0.006246866,-0.003896169,-0.00509027,0.057963695,-0.003461057,0.015045956,-0.031445253,
-0.018319437,-0.005128053,-0.014416918,-0.0372762,0.010728895,-0.026020371,-0.001084306,-0.048645183,
-0.01070035,-0.043128245,-0.003966239,-0.056457702,-0.03831657,0.010326397,0.011850029,-0.030466941,
-0.002771235,-0.038450058,-0.004467702,-0.032169916,0.031706232,-0.027581679,-0.008939828,-0.040190521,
-0.018907474,-0.011094397,0.002840849,-0.045804556,0.023022211,-0.035425959,-0.001082333,-0.031421863,
-0.002829996,-0.012607655,0.004780651,-0.001287875,-0.030963764,-0.025731296,0.002888876,-0.006828814,
-0.011079281,0.021036491,0.002333385,-0.003687392,-0.01951529,-9.03E-05,0.003870126,0.036544737,
-0.02509027,-0.00146958,-0.012179245,-0.09575814,-0.024654454,-0.035177989,-0.01192459,-0.023650479,
-0.008637279,0.002672161,0.005783445,0.068439337,0.02103077,-0.019570789,0.000907734,-0.016176061,
0.002783293,-0.012486964,-0.009336013,0.00862704,0.010251814,0.009181253,0.007885802,-0.046411796,
-0.014499473,0.066855337,-0.029559818,0.006699853,-0.086704443,-0.004027278,0.014746525,-0.017233127,
-0.003014247,0.022131952,-0.013248165,0.030565769,0.013702833,-9.03E-05,0.000884389,0.024619032,
-0.003022821,-0.023108173,-0.015474885,0.016566482,-0.037505236,0.011767438,-0.009827368,-0.00150871,
-0.008913799,0.032632243,-0.017798604,-0.00243082,-0.002740447,0.049388897,0.002859583,-0.022817543,
-0.006024988,-0.006427406,0.008393293,-0.004195842,0.02028174,-0.013737913,-0.016756937,-0.005904223,
-0.009045494,-0.011569862,-0.006925181,-0.036014887,-0.037416659,-0.013926748,-0.001087279,-0.029330036,
-0.006114366,-0.037509625,-0.022324256,0.000520604,-0.0361588,-0.048559658,-0.002086278,-0.024186656,
0.009000639,0.05218855,0.008031008,0.012730243,0.005522452,-0.029580887,0.00090973,-0.00626311,
-0.018108288,-0.01919855,0.002595014,0.01075964,-0.030787945,0.001290945,0.000908731,-0.035804556,
-0.033729414,0.028481159,0.030439993,-0.009631117,0.001829116,-0.027676477,-0.095898653,-0.029075777,
0.012567958,0.001172356,0.008225738,0.005328153,0.042055324,0.00132817,-0.003401528,0.00322648,
0.00615973,0.030174547,-0.003183053,-0.000689072,0.070681789,0.014074036,-0.002305109,-0.005048948,
0.00612091,0.007253671,-0.005777964,0.019682049,0.00935179,0.01387621,0.009898631,0.021504414,
-0.00317669,0.013275465,-0.004770457,0.021061316,-0.019648093,-0.011109554,-0.005584775,0.011291844,
-0.009378196,-0.016876841,-0.00531493,0.025226186,0.004246243,-0.005661301,-0.011139994,-0.01616744,
0.01240973,0.020641437,0.006737461,-0.004018441,-0.02426989,0.00271085,-9.03E-05,0.009713652,
-0.018608789,0.002299216,-0.005306754,-0.013048016,-0.010709739,-0.0503696,-0.020202002,-0.029216484,
-0.018958195,-0.010817326,0.008299872,-0.023492096,0.019587726,-0.05009027,-0.027456291,-0.011756937,
-0.006500526,0.009548284,-0.002170353,-0.03807975,0.01745359,-0.018666121,-0.015330598,-0.003462951,
0.022490375,0.028549348,0.068174451,-0.001305337,0.018013178,0.015682601,-0.002471222,0.099740525,
0.031455471,-9.03E-05,0.002348755,-0.001915088,-0.006017451,0.0092265,0.001103047,0.007602038,
-0.006206478,-0.017491662,0.034459608,-0.006184115,-0.007756369,-0.007782578,0.00229352,-0.022991033,
0.006063576,0.002271005,-0.008086507,-0.024001981,0.002484837,-0.048152286,-0.007224634,-0.05321527,
0.100827161,0.008154724,-0.006728487,-0.025215898,0.010183703,0.024339697,0.004700149,0.100569796,
-0.019534714,0.001077954,0.007069634,0.007641689,-0.000937727,0.014218156,-9.03E-05,0.023897736,
-0.025586021,0.001076591,-0.010990744,0.000549116,0.005846965,0.010881517,0.069039647,0.010158632,
0.014444614,-9.03E-05,-9.03E-05,0.037609411,0.014243626,0.024715932,0.001024557,0.012953208,
-0.008686259,-0.0303933,-9.03E-05,0.012225001,-0.008402822,-0.009167426,-0.013453299,0.014215882,
-0.014541137,-0.009705655,-9.03E-05,0.037014353,0.02254175,-0.001616988,0.010067744,-0.027272034,
-0.020618129,-0.002517454,0.039679735,-0.046424581,-0.009106663,-0.012322686,-0.028023231,-0.017737329,
0.005897754,-0.003739905,0.013734615,0.004829779,-0.010842958,0.010745643,0.003358006,0.005897754,
-0.00306646,0.006014736,-0.029635724,0.012149632,-0.033535086,-0.012341419,0.003346156,-0.010506937,
0.011850029,-0.031643668,-0.014610176,0.005351084,0.019805924,0.023165544,0.015891465,0.004421008,
-0.005989975,-0.016380997,-0.004843122,0.001112376,-0.018527493,0.001424882,-9.03E-05,-9.03E-05,
0.002877089,-9.03E-05,0.001819949,0.013122943,0.018693272,0.015038323,-9.03E-05,0.005897754,
-0.00304885,0.038126291,0.002292952,-9.03E-05,-0.002724159,-0.001580583,-0.002337461,-0.013483127,
-0.003057629,-0.014814196,0.000385241,-0.002461343,0.013113956,-0.003075345,0.001035856,-9.03E-05,
-0.009018841,-0.01005291,0.039833684,-0.007814572,0.005991398,-0.033024402,-0.002339989,-0.036289365,
-0.003093273,-0.031536811,0.100001138,-0.01506033,0.034452044,0.00610168,0.002164521,-0.001655215,
0.011957923,0.012896743,0.100034367,0.012067785,0.003248628,0.004525115,0.004409168,0.0249881,
