,date,sse180,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
1652,2017-10-23,-0.001338103,-0.019693308,-9.03E-05,-0.008552893,-0.00397351,-0.001796755,-0.00644351,-0.010176187,0.011481572,0.018507727,-0.055035325,-0.010885167,0.018200585,-0.006034788,0.023567922,-9.03E-05,-0.000343755,-0.008552893,-9.03E-05,0.003235672,0.002573555,-0.009371012,0.004004734,0.006117055,0.003019183,0.004855328,0.011222723,-0.03012364,0.00427178,0.073854924,-0.010242554
1653,2017-10-24,0.007164815,0.010657043,0.01944098,-0.005068933,0.017287234,0.011875542,0.007582364,0.004438032,0.029461684,-0.008517236,0.051404747,0.010822428,0.005210083,0.007883152,0.009223286,-9.03E-05,0.011826566,-0.005068933,-9.03E-05,-0.008930049,0.011068072,0.013961252,-0.008246877,0.001760439,0.0154088,-0.003043026,0.006011425,0.007363858,0.018367928,-0.006570626,0.015294345
1654,2017-10-25,0.001820692,0.00089885,0.007572565,-0.006523437,0.007843137,-0.001779459,0.034173689,0.006671563,0.005465286,0.002742591,-0.011148722,-0.004015687,-0.002140651,-0.00470464,0.00093502,-9.03E-05,0.046013463,-0.006523437,-9.03E-05,0.021091447,-0.005870617,-0.001080042,0.007311046,-0.005940024,0.037150267,0.009781398,0.003615929,-0.009765853,0.002041926,0.005617027,0.002434983
1655,2017-10-26,0.004606593,-0.011947978,0.007514293,0.022931313,0.019455253,-0.003474365,0.020768626,-0.009418628,-0.020348097,0.006971877,0.010692478,0.018628942,-0.015352964,0.014479266,0.000251143,-9.03E-05,-0.018533384,0.022931313,-0.017059258,0.031569119,0.002552436,0.00321224,0.004807689,0.004555131,-0.024222112,0.03705538,-0.001768686,-0.003538546,-0.029877504,0.020987963,-0.025279187
1656,2017-10-27,0.008465653,-0.00284027,0.011230485,-0.026109961,-0.020356234,-0.003485856,-0.010907578,0.058290144,-9.03E-05,0.03076527,-0.008782487,-0.011695686,0.018985736,-0.028810897,0.005711778,-9.03E-05,0.012354825,-0.026109961,-0.016161699,-0.002206672,-0.018013306,-0.019840105,0.007220859,0.011007141,0.008353638,0.020644886,0.015040867,-0.012200997,0.005392186,-0.010411826,-0.03884996
1657,2017-10-30,-0.003331172,0.082637231,-0.026209673,-0.052797851,0.001298701,0.02035266,0.004769997,-0.011122298,0.012127775,0.040726057,0.006286773,-0.012810427,0.00546691,-0.044445109,0.05080895,-9.03E-05,-0.031664143,-0.052797851,0.022898236,0.030662646,-0.033369926,-0.016880062,-0.046864464,0.021556071,0.014861883,-0.001013631,0.005540734,-0.007095524,-0.002271295,-0.011722841,-0.005466614
1658,2017-10-31,-0.0030724,0.012875694,-0.003921688,0.024299974,-0.005188067,-0.003429168,-0.008554599,-0.024919345,0.011051791,-0.00139746,0.007434482,-0.025858357,-0.020741812,0.021006776,0.013794134,-9.03E-05,-0.008552191,0.024299974,0.000501096,-0.007291916,0.010459425,0.007764921,-9.03E-05,0.031542079,0.019355811,-0.002862913,-0.026770112,0.02224953,-0.005554751,0.033594795,-0.002792973
1659,2017-11-01,-0.002088842,-0.030718841,0.011448192,0.004374016,0.023468057,0.023360316,-0.002529294,-0.007470344,-0.011109554,0.020852138,-0.027999075,0.008048082,-0.01048528,-0.00146768,0.047043488,-9.03E-05,0.00367479,0.004374016,0.03418869,-0.05397628,0.013645994,0.004653885,-0.01616472,-0.012818069,-0.0272579,0.010104355,-0.034946446,-0.01849165,-0.020969391,-0.009120502,-0.002800297
1660,2017-11-02,-0.000315681,0.005332979,-0.015299395,-0.017127307,0.003821656,0.001546391,-0.041655062,0.003998949,0.005480761,-0.019321039,-9.03E-05,-0.030362722,-0.007293151,-0.012504063,0.001734548,-9.03E-05,0.019914731,-0.017127307,0.00790973,0.009767342,-0.020686476,0.017447673,0.003349111,-0.00565722,0.002286438,0.043028996,0.008675508,-0.017079139,0.003276733,-0.013560951,0.005344513
1661,2017-11-03,0.001338547,0.006945377,-0.019395289,-0.052087256,-0.001269036,0.004811691,0.00246075,0.001760896,-0.015787408,-0.024926871,0.004357769,-0.030267169,0.00232811,-0.036403119,0.004159882,-9.03E-05,0.054089676,-0.052087256,0.005011771,0.004248125,-0.009498128,0.003555736,-0.017228231,-0.014527512,0.006430181,-0.021198449,0.02180754,0.001697573,-0.011275952,-0.021777017,-9.03E-05
1662,2017-11-06,0.002119198,0.03228048,0.027468785,0.036475708,0.030495553,0.008039811,-0.007723858,-0.016719982,-0.026356687,0.014655038,0.001520036,-0.017257652,0.047859067,0.024547411,-0.017018928,-9.03E-05,0.041072521,0.036475708,0.006113904,0.083063078,0.007730959,-0.009667549,0.01996204,0.014857413,0.067047539,0.00350362,0.043447145,-0.005444226,-0.001221492,0.048760305,-0.005495675
1663,2017-11-07,0.007391529,-0.027836717,0.022898236,0.002977215,0.013563502,0.014425859,0.011448192,0.01569327,0.005690077,0.052749889,-0.008530784,0.007551651,-0.004119047,0.011932361,0.00390727,-9.03E-05,-0.031807938,0.002977215,-0.012422109,0.014864865,0.018202413,0.006245175,0.003328533,0.033193972,-0.008368416,-0.009938077,-0.01312808,0.006488677,0.003307238,-0.016528626,0.013496687
1664,2017-11-08,-0.000514073,-0.007978901,0.003655048,0.01520025,0,-0.011219046,0.018921137,0.002129486,0.003741148,-0.013892027,-0.001306322,0.003160001,-9.03E-05,0.005500226,-0.008053517,-9.03E-05,-0.012316337,0.01520025,-0.00917086,-0.017771999,0.009163949,0.000572421,0.001613308,-0.017479096,0.00547456,0.001718048,-0.014951565,-0.002466978,0.002167066,0.055620036,-0.002771235
1665,2017-11-09,0.005252901,0.009731994,-0.007552957,-0.009126415,0.008515815,0.001517447,0.006128635,-0.00082855,0.014222707,0.041894463,0.041305834,0.010708866,-0.014248028,-9.03E-05,0.012259221,-9.03E-05,0.025365125,-0.009126415,0.077229318,0.03190973,0.010697217,0.000240856,-0.008593671,0.009193165,0.049162635,-9.03E-05,-0.001431202,0.004078878,0.004414235,0.011971547,0.002597902
1666,2017-11-10,0.008017166,0.0230686,-0.003849668,0.011307906,0.006031363,-0.02256218,0.051825676,-9.03E-05,-0.017964212,0.007235737,0.026799831,-0.022526167,0.003719812,-0.005649686,0.037726137,-9.03E-05,-0.002367656,0.011307906,0.089755557,-9.03E-05,0.004712291,-0.007372627,-0.012097131,0.022042527,0.012567958,0.053158827,0.03549214,-0.015511385,-0.00905888,0.069928352,-0.008133165
1667,2017-11-13,0.002559466,-0.014350116,0.01500407,0.032216266,0.038369305,0.004835838,0.022236405,0.022074488,-0.011584523,-0.001302391,0.014710489,-0.008833439,0.010128708,0.036247955,-0.004792004,-9.03E-05,-0.026568243,0.032216266,-0.005943929,-0.014625154,-0.00221454,-0.019096605,0.008590286,-0.009089145,-0.006861103,0.00847871,-0.010463041,0.001716959,0.016878056,0.063606215,-0.008198378
1668,2017-11-14,-0.00560786,-0.015245264,-0.003807742,0.099618609,0.019630485,-0.008260205,-0.013883373,0.012558808,0.013475621,-0.047420367,-0.00719573,0.025268054,-0.025234779,0.006652818,-0.005699954,-9.03E-05,-0.050500587,0.099618609,-0.012357198,-0.015822817,0.024390837,-9.03E-05,-0.042258945,-0.016265071,-0.02054124,-0.017932241,-0.041033604,0.006524282,-0.004539658,-0.039030061,-0.005539861
1669,2017-11-15,-0.004499165,0.01926156,-0.015015643,-0.035166379,-0.009060023,-0.019859627,-0.026896797,-0.005086701,0.023810304,0.020291896,-0.072030006,-0.008692421,-0.000683214,-0.055013244,-0.038391933,-9.03E-05,0.014724545,-0.035166379,-0.029896529,-0.003087273,-0.045285075,0.041718024,-0.001887215,-0.013646659,0.022929002,-0.015661204,0.0029835,-0.013232444,-0.004559544,-0.039926838,0.002649456
1670,2017-11-16,0.005984082,-0.005122292,-0.011453906,0.036260896,-0.013714286,-0.005132287,0.008292964,0.007800691,0.067136621,-0.007580907,-0.013888971,-0.005513263,0.014445476,-0.010721028,0.034797041,-9.03E-05,0.020590995,0.036260896,0.050600974,0.000911734,-0.016412359,-0.002700384,-0.00819108,0.014237215,0.003572734,-0.000969005,0.041789199,-0.006748866,-0.013558283,0.017994836,-0.016483713
1671,2017-11-17,0.012620785,0.035541914,-0.026910193,-0.051711713,0.02433372,0.013423244,0.033163887,0.045461331,0.026156449,0.002425453,0.03118545,0.007543318,0.006342479,-0.058829525,0.030040995,-9.03E-05,-0.018207076,-0.051711713,0.007707001,-0.04013031,-0.037700889,0.01528428,-0.028220942,-0.055437632,0.004080741,-0.039668106,0.029648292,-0.020199959,0.027213484,-0.06522437,0.02490973
1672,2017-11-20,0.001854362,0.014782094,0.011720754,-0.026608065,-0.019230769,-9.03E-05,0.018300535,0.039052004,0.000762245,0.017475602,-0.018446216,-0.002254772,0.007172949,0.011325255,-0.013122416,-9.03E-05,0.02394469,-0.026608065,0.020219208,0.02180754,0.01082927,-0.006855734,0.012981625,0.012726331,-0.010993697,-0.008332028,-0.009928417,-0.001955942,-9.03E-05,0.058777092,0.005329784
1673,2017-11-21,0.01269564,-0.01080768,-0.003981321,-0.038799947,0.029988466,-9.03E-05,0.014582416,-0.005658563,0.023759815,0.014706277,0.006413795,0.022686303,0.023561302,-0.009872061,0.018102218,-9.03E-05,-0.00578017,-0.038799947,-0.015256147,0.070317893,-0.005206813,0.00509948,-0.00930686,0.013468031,0.062376922,0.011913423,0.033884089,0.004271101,0.028702643,0.024540272,-0.008176523
1674,2017-11-22,0.006258531,0.014059631,0.01162848,-0.008293104,0.017917133,0.036576397,-0.032348335,0.017696291,0.00240557,-0.006165604,-0.01462985,0.007332848,-0.006289199,0.024985718,-0.030926005,-9.03E-05,-0.031086932,-0.008293104,0.002797122,-0.021062625,0.007338301,0.017980075,0.012002753,-0.00871096,-0.011947978,0.005384183,-0.009699693,0.00239112,0.009597566,-0.041642468,0.013496687
1675,2017-11-23,-0.025183496,-0.048269908,-0.019395289,0.084872136,-0.02310231,-0.008128855,-0.0196305,-0.029216484,-0.015857905,0.001132224,-0.030418139,-0.031669217,-0.043186386,-0.020105096,-0.027446797,-9.03E-05,-0.056438695,0.084872136,-0.055752458,-0.050723181,-0.031287094,-0.003576799,-0.020310858,-0.033073778,-0.06759027,-0.058166495,-0.042343791,-0.018035815,-0.028874918,-0.080348242,0.015995521
1676,2017-11-24,3.52E-05,0.000367815,0.011720754,0.067130797,0.002252252,0.001530476,-0.010641266,0.00290973,0.006655093,-0.05015132,0.001600347,0.002083643,-0.014608789,0.058154813,-0.010790362,-9.03E-05,0.001474267,0.067130797,0.00245038,0.000935371,-9.03E-05,-0.008996122,-0.006656874,-0.007222053,0.000445923,0.009543641,-0.019698113,-0.003870988,-0.009969524,0.007311366,0.01046382
1677,2017-11-27,-0.008021802,-0.022526167,-0.015654472,-0.009181179,0.001123596,-9.03E-05,-0.019047616,-0.007069333,0.001584772,-0.084923175,0.001597494,0.000994329,0.001713699,-0.015815788,0.002381918,-9.03E-05,-0.027947599,-0.009181179,0.001430257,-0.071811581,-0.017069193,0.0021562,0.007464027,-0.026636179,-0.018846969,-0.001998667,-0.00109027,-0.007680403,-9.03E-05,-0.049587563,0.002520696
1678,2017-11-28,-0.001462193,0.009043219,0.019672576,0.035296362,0.023569024,-0.025980238,0.020441131,-0.023182639,-0.023501641,0.006932202,-0.00935733,-0.014174777,0.00141033,0.028958386,-0.013962033,-9.03E-05,0.01972762,0.035296362,0.004464386,0.033022313,0.02492462,-0.003612524,0.018653872,0.001193015,0.002094329,0.010425982,-0.008431945,0.005008519,-0.013394039,0.017403627,-9.03E-05
1679,2017-11-29,-0.000567759,-0.022833366,0.023165544,0.01826416,0.032894737,0.003231989,0.079199671,0.012585304,0.100080963,-0.015431972,0.011389322,0.002107532,-0.029757636,0.022492652,-0.02040912,-9.03E-05,-0.008756236,0.01826416,-0.044422764,-0.007568902,-0.006481903,0.008264486,-0.003770123,-0.010343394,-0.042597082,0.012208689,-0.033401172,0.004348538,-0.002337461,-0.013284992,0.028555563
1680,2017-11-30,-0.009750453,-0.008401835,-0.015241785,-0.039245025,-0.004246285,-0.001745899,-0.012151674,-0.019373085,-0.019545523,-0.014254576,-9.03E-05,-0.004476235,-0.003178596,-0.020794204,-0.011577188,-9.03E-05,-0.028964442,-0.039245025,-0.000617418,-0.023771648,-0.012370972,-0.039924559,-0.002860353,-0.006888587,-0.016026525,-0.017847279,-0.001830611,-0.001984209,-0.003468648,-0.02480664,-9.03E-05
1681,2017-12-01,-0.00377289,0.007093638,0.007602038,0.030310765,-0.028784648,-0.001748645,0.006568997,-0.013198238,0.011814492,0.011403983,-0.000510615,0.001011052,0.003317413,-0.002909157,-0.00299537,-9.03E-05,0.043281252,0.030310765,0.005711418,-0.011115628,0.01115899,-0.007060068,0.011020841,0.003169182,0.002223206,0.012278902,0.002350455,0.004337307,0.001039674,0.036469763,-0.002621916
1682,2017-12-04,0.004666161,0.002525041,0.011360112,0.034435781,-0.012074643,0.00157086,-0.006705485,0.00375454,0.005399926,0.011273366,-0.016911128,-0.00669093,0.001453416,-0.003623839,0.018362304,-9.03E-05,0.03494241,0.034435781,-0.007956028,0.02778041,-0.007116031,-0.0168015,-0.012910783,0.015179386,0.018374819,-0.002909819,0.029474947,-0.020241404,0.001038398,0.048005922,-9.03E-05
1683,2017-12-05,0.010194914,0.030025926,-0.037826119,-9.03E-05,0,0.016493478,-0.001200148,0.026720315,-0.001650332,-0.009921731,0.014024358,0.014306186,0.020563244,-0.056827859,0.023113799,-9.03E-05,-0.021812927,-9.03E-05,0.023694085,-0.019613047,-0.033109138,0.022003544,-0.020498433,-0.01129027,0.019173186,-0.034963032,0.018828649,-0.029010578,0.022457644,-0.040625643,0.017676227
1684,2017-12-06,-0.009525094,-0.033930049,-9.03E-05,0.012652448,-0.055555556,-0.006615555,0.008798619,-0.019079758,-0.00790277,-0.005764029,-0.005151426,-0.008823894,0.000211754,0.006676647,-0.012827145,-9.03E-05,0.000426126,0.012652448,0.003007304,-0.004515049,-0.002529294,-0.009401876,0.0321067,0.009942092,-0.013986879,0.018464418,-0.022305124,-0.003399337,-0.002295342,0.026215031,-0.027521691
1685,2017-12-07,-0.008425235,-9.03E-05,-0.011854976,-0.057609743,-0.028235294,-0.003374342,-0.022116702,-0.023595282,0.010933352,-0.011502538,-0.03273122,-0.005596878,-0.009450173,-0.012786312,-0.010159496,-9.03E-05,0.020296827,-0.057609743,-0.028397012,-0.012312492,-9.03E-05,0.009980223,0.000827161,-0.00041068,-0.021510789,0.007579912,-0.019757954,-0.001418291,-0.008930049,-0.017565998,-9.03E-05
1686,2017-12-08,0.005026596,0.000386261,0.011814492,0.067932616,0.016949153,-0.006680056,-0.028243423,0.009467252,-0.007878432,0.007124737,-0.018056966,0.002124569,-0.002833336,0.014281893,0.010717104,-9.03E-05,0.039110539,0.067932616,-0.012802134,0.100022216,0.012134669,-0.011389705,0.020991307,0.013050756,0.026983463,0.003715629,0.016858883,-0.002084951,-9.03E-05,-0.071236515,-0.01034668
1687,2017-12-11,0.012573501,0.028964267,0.023439142,0.010624016,0.014285714,-9.03E-05,0.017290958,0.014285607,0.013253529,0.012803713,0.04185529,-9.03E-05,0.009384058,0.011095412,0.010916019,-9.03E-05,0.046636427,0.010624016,0.033708013,-9.03E-05,0.037953208,0.003271075,0.00439806,0.016992932,0.032439175,0.002753332,0.047868914,0.01056929,-0.005664406,0.044590581,0.002500404
